Survey ResponseID,privacy_level,n_recs,score_topk,score_out,gap_score,delta_s1_needed,delta_s2_needed,delta_s5_needed,s1_out,s1_topk,factible_s1,dificultad
R_3MMx9KvloslYL6E,Privada_sensible,10,0.4230100952230362,0.4159870332719686,0.007023061951067555,0.017557654877668888,0.02809224780427022,0.07023061951067555,,,True,Muy fácil (Δ≤0.05)
R_3Mb2VWjanQnEhx5,Privada_sensible,20,0.33012042320375773,0.31698959492689627,0.013130828276861461,0.032827070692153654,0.052523313107445846,0.13130828276861461,,,True,Muy fácil (Δ≤0.05)
R_3Mflr1c778ZI5bw,Privada_sensible,20,0.428031015093813,0.3836262922180453,0.044404722875767744,0.11101180718941936,0.17761889150307097,0.44404722875767744,,,True,Fácil (0.05-0.15)
R_3MgSphhiCDCqZgD,Privada_sensible,11,0.4195844435091594,0.3672187324522662,0.052365711056893194,0.13091427764223298,0.20946284422757278,0.5236571105689319,,,True,Fácil (0.05-0.15)
R_3MhBAq6V6XHU9ln,No_privada,20,0.3288628897063115,0.24468835901315147,0.08417453069316003,0.21043632673290005,0.3366981227726401,0.8417453069316002,,,True,Moderado (0.15-0.30)
R_3MnSLQdJkly3wfg,Privada_sensible,20,0.326178090233491,0.2900401088487282,0.03613798138476276,0.09034495346190691,0.14455192553905105,0.36137981384762763,,,True,Fácil (0.05-0.15)
R_3MncA46G8CO8juo,Privada_sensible,12,0.4013225134494506,0.3815872984649629,0.01973521498448766,0.04933803746121915,0.07894085993795064,0.1973521498448766,,,True,Muy fácil (Δ≤0.05)
R_3MsBFFMO0AQslDO,Privada_moderada,19,0.46488520081045476,0.333909869954621,0.13097533085583374,0.3274383271395843,0.523901323423335,1.3097533085583373,,,False,Difícil (>0.30)
R_3MsVnVTECl4iNiV,Privada_sensible,6,0.20816815819910783,0.1933363784359788,0.014831779763129022,0.037079449407822554,0.059327119052516086,0.14831779763129022,,,True,Muy fácil (Δ≤0.05)
R_3MsY6hQO6rNgjhW,Privada_sensible,6,0.14149188561479725,0.1093330635455327,0.032158822069264556,0.08039705517316138,0.12863528827705822,0.32158822069264553,,,True,Fácil (0.05-0.15)
R_3MtYWGuKtrJSCBg,Privada_sensible,20,0.5458702457503123,0.5311007605114739,0.014769485238838365,0.03692371309709591,0.05907794095535346,0.14769485238838365,,,True,Muy fácil (Δ≤0.05)
R_3MyEdXOZ8P75S1V,No_privada,20,0.7652160139581368,0.7124943584667164,0.05272165549142038,0.13180413872855096,0.21088662196568153,0.5272165549142038,,,True,Fácil (0.05-0.15)
R_3MzDO7u2oOPlJtF,Privada_moderada,8,0.2438155085056189,0.21509709440356217,0.028718414102056722,0.0717960352551418,0.11487365640822689,0.2871841410205672,,,True,Fácil (0.05-0.15)
R_3NDlfiCWFd7C5Ej,No_privada,16,0.3336806291337016,0.32593186148290165,0.007748767650799959,0.019371919126999898,0.030995070603199837,0.07748767650799959,,,True,Muy fácil (Δ≤0.05)
R_3NDry1LyvCgVPFI,No_privada,11,0.30649223031048334,0.254672726854683,0.05181950345580033,0.12954875863950083,0.20727801382320132,0.5181950345580033,,,True,Fácil (0.05-0.15)
R_3NEx511sPB1RbrL,Privada_sensible,20,0.42341795241698743,0.41097223939728617,0.012445713019701266,0.031114282549253164,0.04978285207880506,0.12445713019701266,,,True,Muy fácil (Δ≤0.05)
R_3NFfURTsheBe5et,Privada_sensible,20,0.49582441560025003,0.3211984657913649,0.17462594980888513,0.4365648745222128,0.6985037992355405,1.7462594980888513,,,False,Difícil (>0.30)
R_3NFhCSnuJa54Jn3,No_privada,7,0.1650136952246319,0.16172004769654486,0.003293647528087057,0.008234118820217642,0.013174590112348228,0.03293647528087057,,,True,Muy fácil (Δ≤0.05)
R_3NFoQj51yPZZy6Y,Privada_sensible,17,0.524213451040931,0.45991440789041776,0.06429904315051321,0.16074760787628303,0.25719617260205285,0.6429904315051321,,,True,Moderado (0.15-0.30)
R_3NHPsnCWAEa4CFk,Privada_sensible,20,0.7136431119237436,0.7075018287808189,0.006141283142924725,0.015353207857311812,0.0245651325716989,0.06141283142924725,,,True,Muy fácil (Δ≤0.05)
R_3NO5X4vYETLCQOg,No_privada,14,0.4065946929414133,0.3926316624486923,0.013963030492721018,0.034907576231802545,0.05585212197088407,0.13963030492721018,,,True,Muy fácil (Δ≤0.05)
R_3NPnW7ko8nPUh0O,Privada_sensible,20,0.27868539866769226,0.24076369001565903,0.03792170865203323,0.09480427163008308,0.15168683460813293,0.3792170865203323,,,True,Fácil (0.05-0.15)
