Survey ResponseID,n_recs,ild_category,ild_cat1,ild_cat2,ild_pct,avg_score,avg_reasons,hit_rate,privacy_level,exp_group,total_products,category_diversity,is_category_specialist,category_top1,cuartil_hist
R_PRvq5W0QfrLLHoJ,20,11,8,8,0.55,0.2735405717405758,2.6,0.1,Privada_sensible,na,356.0,141,False,ABIS_BOOK,Q2
R_PSgcRvjngEuUFC9,20,15,10,7,0.75,0.5893970208946546,2.75,0.3,Privada_sensible,na,666.0,255,False,NAN,Q3
R_PTBypKcn9Vjypup,1,1,1,1,1.0,1.0,3.0,1.0,No_privada,na,90.0,53,False,PET_FOOD,Q1 cold-start
R_PUjGHRInObkkx33,1,1,1,1,1.0,1.0,3.0,1.0,No_privada,na,254.0,95,False,GIFT_CARD,Q2
R_PXSF6lxCnUB8Pg5,20,13,9,7,0.65,0.3817911459939177,2.4,0.8,Privada_sensible,na,482.0,214,False,MOUTHWASH,Q3
R_PZK5ZHQaJY6ymWd,20,8,7,5,0.4,0.37613592881711827,1.65,0.8,Privada_sensible,na,649.0,284,False,NAN,Q3
R_PuLRXv7pUO3cLzX,20,7,7,4,0.35,0.36503202477500724,3.0,0.15,No_privada,na,442.0,125,False,GIFT_CARD,Q3
R_PvwULHwARcFwOXv,20,9,7,5,0.45,0.47318158612797767,2.6,0.15,Privada_sensible,na,358.0,135,False,ABIS_BOOK,Q2
R_PwlnzzccUMXV0n7,20,13,5,3,0.65,0.39741017468674567,1.95,0.15,Privada_sensible,na,1379.0,280,False,WATER,Q4 historial rico
R_PzynrAQBzRiPa93,20,11,8,5,0.55,0.2655928810803778,1.75,0.1,Privada_sensible,na,455.0,202,False,ABIS_BOOK,Q3
R_Q0VlYv4XDFK34mR,3,2,2,2,0.6666666666666666,0.6467295709372071,3.0,0.6666666666666666,Privada_sensible,na,112.0,59,False,NAN,Q1 cold-start
R_Q4HF1TW4ZmOoXMl,1,1,1,1,1.0,1.0,3.0,1.0,Privada_sensible,na,81.0,48,False,ABIS_BOOK,Q1 cold-start
R_Q4STulV6BKUy7Lj,3,3,3,3,1.0,0.5678891482267362,2.3333333333333335,1.0,Privada_sensible,na,200.0,97,False,SHIRT,Q2
R_Q4ZjTFeyiC5kgQV,20,12,9,6,0.6,0.2947760684270197,3.0,0.05,No_privada,na,943.0,273,False,NAN,Q4 historial rico
R_Q4bzbtEeez3se3v,5,1,1,1,0.2,0.8187584708007561,3.0,1.0,No_privada,na,483.0,129,False,ABIS_MUSIC,Q3
R_Q6WPHvxgbOBjvZ7,9,5,4,4,0.5555555555555556,0.27863773005805764,3.0,0.2222222222222222,No_privada,na,939.0,239,False,WALL_ART,Q4 historial rico
R_Q6uIjCCdaCmL0dP,8,5,4,4,0.625,0.4043523456724087,2.5,0.625,Privada_sensible,na,218.0,133,False,NAN,Q2
R_Q9Qz1yZfznfUdbj,7,5,4,5,0.7142857142857143,0.29355007486824,2.2857142857142856,0.14285714285714285,Privada_sensible,na,711.0,216,False,ABIS_BOOK,Q4 historial rico
R_QcV7uVxb8myM0lb,20,17,12,8,0.85,0.5747683458964278,2.35,0.95,Privada_sensible,na,731.0,222,False,ABIS_BOOK,Q4 historial rico
R_QfvAxCxCdb6YwUh,20,9,8,4,0.45,0.34776017559555583,2.35,0.1,Privada_sensible,na,505.0,157,False,NAN,Q3
R_Qh8yUNA19CJDbEd,8,7,4,3,0.875,0.5045468429932151,2.5,0.5,Privada_sensible,na,280.0,111,False,SKIN_CLEANING_AGENT,Q2
R_QlCM5cyqADTpz0J,20,12,10,7,0.6,0.3598930426931611,2.25,0.25,Privada_sensible,na,477.0,195,False,ABIS_BOOK,Q3
R_QnbL2ixceO8TFQZ,5,1,1,1,0.2,0.6513337175508276,2.2,0.8,Privada_sensible,na,120.0,49,False,ABIS_BOOK,Q1 cold-start
R_Qol5y4tCXYb9Ihb,20,13,12,10,0.65,0.367253073061882,2.45,0.15,Privada_sensible,na,1035.0,214,False,NAN,Q4 historial rico
R_Qp7pqfzWe3Qmcrn,20,13,9,8,0.65,0.5391783275611506,3.0,0.55,No_privada,na,666.0,255,False,NAN,Q3
R_R38GYKD6oUDOIF3,20,15,10,8,0.75,0.5272084909413393,3.0,0.95,No_privada,na,924.0,188,False,GIFT_CARD,Q4 historial rico
R_R39HZohVkYzzCEx,20,9,7,6,0.45,0.3744412628424675,3.0,0.15,No_privada,na,351.0,122,False,GIFT_CARD,Q2
R_R3TxodwIFRR70s1,1,1,1,1,1.0,1.0,3.0,1.0,Privada_sensible,na,618.0,253,False,NOODLE,Q3
R_R49WiNv3T8fnZkZ,8,6,6,6,0.75,0.36642067579083426,2.375,0.125,Privada_sensible,na,248.0,101,False,WATER,Q2
R_R4fpnxUUupS13Mt,15,10,8,7,0.6666666666666666,0.3715956857991392,2.8,0.4666666666666667,Privada_sensible,na,1124.0,293,False,NUTRITIONAL_SUPPLEMENT,Q4 historial rico
R_R4goEYhjG8ibKsV,5,4,4,3,0.8,0.5775661416906475,3.0,1.0,No_privada,na,435.0,203,False,ABIS_BOOK,Q3
R_R8sct72XDNoSEJb,20,12,9,7,0.6,0.4541017896061693,2.2,0.3,Privada_sensible,na,307.0,144,False,PET_FOOD,Q2
R_R9McGd7PrBxBNOp,20,10,6,4,0.5,0.7566801385879615,3.0,0.65,Privada_moderada,control,821.0,51,False,GROCERY,Q4 historial rico
R_RCVXIEUXgJrUx4R,20,16,8,6,0.8,0.5815202411592829,2.15,0.85,Privada_sensible,na,1268.0,146,False,DRINK_FLAVORED,Q4 historial rico
R_RIS6I9ekQzl33Yl,20,17,11,8,0.85,0.5589001874532492,2.35,0.95,Privada_sensible,na,209.0,97,False,GIFT_CARD,Q2
R_RIab1TrbMHv4dm9,20,11,5,3,0.55,0.628259255874569,2.0,0.65,Privada_sensible,na,317.0,177,False,GIFT_CARD,Q2
R_RK5cwWjrNzWCfLj,20,11,8,7,0.55,0.3642787044697432,2.05,0.9,Privada_sensible,na,632.0,247,False,PET_FOOD,Q3
R_RKOvCgLEqnbraIV,20,5,4,2,0.25,0.3605490267367665,3.0,0.1,No_privada,na,86.0,28,False,DOWNLOADABLE_VIDEO_GAME,Q1 cold-start
R_RLDhRWGJ2OGQan7,10,3,3,3,0.3,0.35039446465594765,3.0,0.6,No_privada,na,850.0,210,False,PET_FOOD,Q4 historial rico
R_RLkY8gV3T48ZcoF,2,2,2,2,1.0,0.5972720881582739,2.5,0.5,Privada_sensible,na,453.0,199,False,ABIS_BOOK,Q3
R_RPruSl134deuxOh,17,8,8,6,0.47058823529411764,0.2727730972551723,3.0,0.058823529411764705,No_privada,na,391.0,172,False,ABIS_MUSIC,Q3
